"School System & School","...2","# Tested","% Tested","Total","ERW","Math"
"Clinton City Schools",NA,"98","55.7","1030","518","511"
"308","Clinton High","98","55.7","1030","518","511"
"Scotland County Schools",NA,"203","45.8","972","487","485"
"316","Shaw Academy","<10","*","*","*","*"
"343","Scotland High School","185","48.3","961","481","480"
"348","Scotland Early College High","17","31.5","1114","563","551"
"Stanly County Schools",NA,"218","40.700000000000003","1053","529","524"
"302","Albemarle High","35","43.8","939","480","459"
"332","North Stanly High","57","41","1042","520","522"
"356","South Stanly High","35","36.799999999999997","1127","563","565"
"361","Stanly Early College High","31","43.1","1085","549","536"
"368","West Stanly High","59","40.4","1072","537","535"
"370","Stanly Academy Learning Center","<10","*","*","*","*"
"Stokes County Schools",NA,"161","38.200000000000003","1080","543","537"
"332","North Stokes High","32","38.1","1065","540","525"
"352","South Stokes High","51","44.7","1059","526","532"
"358","West Stokes High","71","39","1096","552","545"
"360","Stokes Early College","<10","*","*","*","*"
"Surry County Schools",NA,"140","20.6","1084","547","537"
