school_code,school_name,percent_white,percent_male,percent_eds,percent_swd,title_1,percent_ACTEN_meeting,percent_ACTMA_meeting,percent_ACTRD_meeting,percent_ACTSC_meeting,percent_ACTWR_meeting,percent_ACT_meeting,missed_school_days,region,growth_status,growth_index_score
340556,West Forsyth High,0.6056338028169014,0.5264084507042254,0.21654929577464788,0.06866197183098592,N,50.1,35,43.8,34.2,38,69.9,2,Piedmont-Triad,Met,-0.02
350308,Bunn High,0.5073891625615764,0.458128078817734,0.5812807881773399,0.09359605911330049,N,21.6,12.7,21.7,11.3,12.9,45.3,2,North Central,Exceeded,2.31
350321,Franklinton High,0.5064377682403434,0.5407725321888412,0.3776824034334764,0.09012875536480687,N,29.2,15.5,23.6,15,25,47.6,2,North Central,Met,-0.48
350336,Louisburg High,0.4132231404958678,0.4380165289256198,0.5537190082644629,0.04132231404958675,N,34.4,10.7,20.5,9,26.4,46.3,2,North Central,Not Met,-4.49
360310,Ashbrook High,0.33003300330033003,0.5346534653465347,0.5313531353135313,0.07920792079207921,N,17.6,11.4,14.8,6.9,16.8,36,0,Southwest,Exceeded,4.57
360336,Bessemer City High,0.5704697986577181,0.5234899328859061,0.5771812080536913,0.08053691275167785,N,12.8,5.4,14.8,5.4,10.3,26.2,0,Southwest,Not Met,-7.5
360360,Cherryville High,0.8165137614678899,0.41284403669724773,0.41284403669724773,0.12844036697247707,N,39.4,20.2,26.6,13.8,18.1,53.2,0,Southwest,Met,0.95
360378,Stuart W Cramer High,0.684931506849315,0.4657534246575342,0.3470319634703196,0.091324200913242,N,29.1,24.5,26.5,17.3,23.6,53.9,0,Southwest,Exceeded,5.48
360390,East Gaston High,0.7954545454545454,0.4772727272727273,0.3181818181818182,0.10795454545454546,N,23.3,18.2,20.5,15.3,8,43.2,0,Southwest,Exceeded,5.4
360396,Forestview High,0.6428571428571429,0.4849624060150376,0.3082706766917293,0.07894736842105263,N,36.5,21.8,25.6,23.3,23.8,53,0,Southwest,Exceeded,3.44
360418,Highland Sch of Technology,0.6766917293233082,0.45864661654135336,0.20300751879699247,0.007518796992481258,N,76.7,66.9,63.2,54.1,59.4,95,0,Southwest,Exceeded,9.47
360428,Hunter Huss High,0.2887700534759358,0.45454545454545453,0.6256684491978609,0.053475935828877004,N,9.1,5.3,8,5.3,8.8,24.1,0,Southwest,Met,0.19
360470,North Gaston High,0.6711111111111111,0.48,0.4222222222222222,0.09333333333333334,N,23,10.6,15,9.3,8.6,35.1,0,Southwest,Not Met,-4.84
360494,South Point High,0.7863247863247863,0.4658119658119658,0.23076923076923078,0.06837606837606838,N,47.9,37.6,40.2,34.2,23.1,65,0,Southwest,Exceeded,4.24
370312,Gates County Senior High,0.5714285714285714,0.4857142857142857,0.4928571428571429,0.1,N,35,15.7,23.6,20.7,19.3,57.9,2,Northeast,Not Met,-3.57
390322,Granville Central High,0.3851851851851852,0.5259259259259259,0.5111111111111111,0.07407407407407407,N,17.6,11.8,13.3,10.3,11.9,34.1,2,North Central,Exceeded,5
